,,,,,,,,System.out.println("Loop,at,",+,i,+,",took,",+,loopDuration,+,",ns");
Loop,at,1000,took,99833,ns
Loop,at,2000,took,126540,ns
Loop,at,3000,took,115110,ns
Loop,at,4000,took,103148,ns
Loop,at,5000,took,123658,ns,,,,,76,
Loop,at,6000,took,102246,ns
Loop,at,7000,took,104848,ns
Loop,at,8000,took,110657,ns
Loop,at,9000,took,64902,ns
Loop,at,10000,took,55286,ns
Loop,at,11000,took,54253,ns
Loop,at,12000,took,54230,ns
Loop,at,13000,took,54068,ns
Loop,at,14000,took,54195,ns
Loop,at,15000,took,54322,ns
Loop,at,16000,took,54106,ns
Loop,at,17000,took,53512,ns
Loop,at,18000,took,54455,ns
Loop,at,19000,took,54251,ns
Loop,at,20000,took,54353,ns
Loop,at,21000,took,54251,ns
Loop,at,22000,took,54319,ns
Loop,at,23000,took,54225,ns
Loop,at,24000,took,54334,ns
Loop,at,25000,took,54114,ns
Loop,at,26000,took,54396,ns
Loop,at,27000,took,57180,ns
Loop,at,28000,took,54461,ns
Loop,at,29000,took,54164,ns
Loop,at,30000,took,54410,ns
Loop,at,31000,took,54236,ns
Loop,at,32000,took,54250,ns
Loop,at,33000,took,54318,ns
Loop,at,34000,took,54287,ns
Loop,at,35000,took,54318,ns
Loop,at,36000,took,54382,ns
Loop,at,37000,took,54358,ns
Loop,at,38000,took,54206,ns
Loop,at,39000,took,54046,ns
Loop,at,40000,took,54229,ns
Loop,at,41000,took,54422,ns
Loop,at,42000,took,54311,ns
Loop,at,43000,took,54195,ns
Loop,at,44000,took,54381,ns
Loop,at,45000,took,54050,ns
Loop,at,46000,took,54088,ns
Loop,at,47000,took,54317,ns
Loop,at,48000,took,57053,ns
Loop,at,49000,took,54419,ns
Loop,at,1000,took,560549,ns
Loop,at,2000,took,54654,ns
Loop,at,3000,took,53049,ns
Loop,at,4000,took,53245,ns
Loop,at,5000,took,53610,ns
Loop,at,6000,took,52995,ns
Loop,at,7000,took,53207,ns
Loop,at,8000,took,53299,ns
Loop,at,9000,took,53300,ns
Loop,at,10000,took,53297,ns
Loop,at,11000,took,53230,ns
Loop,at,12000,took,53089,ns
Loop,at,13000,took,53223,ns
Loop,at,14000,took,52848,ns
Loop,at,15000,took,56513,ns
Loop,at,16000,took,53086,ns
Loop,at,17000,took,53172,ns
Loop,at,18000,took,53218,ns
Loop,at,19000,took,53305,ns
Loop,at,20000,took,53088,ns
Loop,at,21000,took,53157,ns
Loop,at,22000,took,53186,ns
Loop,at,23000,took,56161,ns
Loop,at,24000,took,53070,ns
Loop,at,25000,took,53378,ns
Loop,at,26000,took,53120,ns
Loop,at,27000,took,53113,ns
Loop,at,28000,took,53076,ns
Loop,at,29000,took,53200,ns
Loop,at,30000,took,53279,ns
Loop,at,31000,took,53332,ns
Loop,at,32000,took,53129,ns
Loop,at,33000,took,53147,ns
Loop,at,34000,took,53168,ns
Loop,at,35000,took,53240,ns
Loop,at,36000,took,53218,ns
Loop,at,37000,took,53085,ns
Loop,at,38000,took,53084,ns
Loop,at,39000,took,53405,ns
Loop,at,40000,took,52987,ns
Loop,at,41000,took,53243,ns
Loop,at,42000,took,53378,ns
Loop,at,43000,took,52407,ns
Loop,at,44000,took,53040,ns
Loop,at,45000,took,53153,ns
Loop,at,46000,took,56211,ns
Loop,at,47000,took,53309,ns
Loop,at,48000,took,53343,ns
Loop,at,49000,took,53173,ns
